
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2000-12-1,23,14,5,6,2,-5,87,52,15,1019,1017,1016,8,5,2,19,5,,0.00,0,,303
2000-12-2,23,13,4,6,1,-7,87,51,13,1020,1017,1016,7,5,2,14,2,,0.00,1,,332
2000-12-3,25,16,6,8,4,1,82,58,22,1021,1019,1018,6,4,1,6,0,,0.00,0,,310
2000-12-4,24,16,7,10,6,1,87,60,24,1019,1016,1013,6,3,1,11,2,,0.00,0,,257
2000-12-5,24,14,5,7,4,0,87,58,21,1015,1014,1013,6,4,1,13,2,,0.00,0,,294
2000-12-6,25,16,7,6,3,-2,87,54,17,1017,1015,1014,8,4,1,19,2,,0.00,0,,299
2000-12-7,23,14,7,9,6,3,82,60,27,1018,1016,1015,6,4,1,3,0,,0.00,1,,180
2000-12-8,24,18,12,9,8,6,77,59,36,1019,1016,1015,8,6,5,19,10,,0.00,3,,329
2000-12-9,23,16,8,9,7,4,87,59,31,1015,1014,1012,8,5,2,21,3,,0.00,1,,297
2000-12-10,23,14,7,8,6,3,87,64,31,1017,1015,1013,6,4,1,10,2,,0.00,2,,291
2000-12-11,23,14,6,11,5,3,87,61,27,1018,1016,1015,7,4,1,16,3,,0.00,0,,295
2000-12-12,23,14,6,7,4,-5,87,58,17,1017,1016,1015,8,5,1,14,2,,0.00,0,,286
2000-12-13,23,14,7,9,7,2,87,63,38,1017,1016,1014,6,4,1,6,2,,0.00,1,,258
2000-12-14,25,16,7,11,7,5,93,67,28,1015,1014,1012,7,4,1,13,2,,0.00,0,,264
2000-12-15,25,17,9,11,8,5,87,63,28,1018,1016,1015,5,3,1,10,3,,0.00,3,,345
2000-12-16,23,17,12,13,11,8,82,69,38,1018,1016,1015,5,2,1,23,2,,0.00,5,,150
2000-12-17,21,17,14,15,13,10,88,74,49,1019,1017,1015,5,3,1,14,6,,0.00,5,Rain,47
2000-12-18,21,17,13,12,11,8,88,70,46,1019,1016,1016,8,6,4,19,10,,0.00,0,,301
2000-12-19,22,16,9,9,7,3,87,63,33,1017,1015,1014,7,6,4,16,6,,0.00,0,,280
2000-12-20,23,14,6,8,4,2,87,61,25,1018,1015,1014,6,5,2,19,5,,0.00,0,,275
2000-12-21,23,14,5,7,4,1,87,62,23,1019,1017,1015,7,5,1,13,3,,0.00,0,,258
2000-12-22,22,13,5,11,7,3,87,68,38,1019,1016,1015,5,3,1,10,2,,0.00,2,,53
2000-12-23,23,14,5,8,6,3,93,68,36,1018,1016,1015,4,2,1,10,2,,0.00,0,,121
2000-12-24,23,13,4,8,6,3,93,66,31,1018,1016,1015,5,3,0,13,2,,0.00,0,,276
2000-12-25,22,13,5,10,7,4,93,72,33,1018,1016,1015,5,3,0,13,2,,0.00,0,,270
2000-12-26,24,14,6,11,8,5,93,71,38,1018,1016,1015,6,3,1,10,0,,0.00,0,,270
2000-12-27,22,13,5,13,9,5,100,79,46,1018,1016,1015,7,4,0,172,6,,0.00,0,Fog,170
2000-12-28,20,14,9,14,11,9,100,82,60,1018,1016,1015,3,2,0,14,2,,0.00,2,Fog,107
2000-12-29,21,14,8,13,9,6,87,74,49,1019,1016,1015,7,5,1,10,3,,0.00,0,,342
2000-12-30,24,16,8,12,9,7,93,72,38,1016,1014,1012,7,5,4,13,3,,0.00,1,,2
2000-12-31,14,12,11,12,11,10,94,91,82,1016,1014,1013,4,2,0,19,5,,0.00,6,Rain,356
<!-- 0.199:0 -->
