
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
1997-12-1,21,16,11,11,9,7,82,65,40,1021,1019,1018,6,4,3,10,0,,0.00,0,,150
1997-12-2,20,14,9,11,9,7,88,77,49,1021,1019,1017,5,2,1,10,2,,0.00,3,,270
1997-12-3,20,13,7,10,8,6,93,77,49,1019,1017,1016,6,2,1,13,2,,0.00,1,Fog,25
1997-12-4,21,17,11,11,11,9,88,74,46,1019,1018,1018,6,4,1,3,2,,0.00,0,,30
1997-12-5,21,13,7,12,9,6,94,80,52,1020,1019,1017,8,3,1,11,2,,0.00,2,,345
1997-12-6,22,14,8,12,10,7,94,75,46,1021,1019,1018,7,4,1,13,2,,0.00,3,,33
1997-12-7,20,16,12,14,12,10,94,78,60,1018,1016,1014,4,3,1,13,3,,0.00,6,,342
1997-12-8,19,17,14,14,12,11,88,80,68,1013,1012,1011,5,4,4,19,3,,0.00,6,,55
1997-12-9,16,13,12,13,12,10,94,86,82,1013,1012,1010,7,5,3,10,3,,0.00,6,,34
1997-12-10,18,13,9,13,12,8,100,89,72,1018,1015,1012,6,4,1,11,2,,0.00,4,Fog,270
1997-12-11,18,14,10,13,12,9,94,86,73,1018,1017,1016,6,2,0,13,2,,0.00,4,Fog,300
1997-12-12,18,14,12,14,12,10,94,84,64,1017,1016,1015,3,2,0,13,2,,0.00,5,Fog,267
1997-12-13,16,13,12,12,11,9,94,81,63,1018,1016,1015,5,3,0,10,3,,0.00,5,Fog,104
1997-12-14,17,13,10,12,9,8,94,82,68,1019,1017,1016,8,3,0,11,2,,0.00,2,Fog,250
1997-12-15,14,12,10,11,9,9,94,87,77,1019,1018,1017,4,3,0,10,3,,0.00,5,,157
1997-12-16,17,13,9,12,9,8,94,84,68,1022,1020,1019,6,3,0,8,0,,0.00,5,Fog,90
1997-12-17,16,12,9,11,9,9,100,91,68,1024,1021,1020,5,2,0,10,0,,0.00,2,Fog,358
1997-12-18,12,10,9,9,8,8,94,89,77,1020,1019,1018,3,2,1,10,3,,0.00,8,Fog,59
1997-12-19,12,9,7,8,7,5,93,84,76,1022,1020,1019,4,3,3,8,5,,0.00,6,,351
1997-12-20,11,8,6,9,7,6,100,91,82,1021,1019,1018,3,2,0,13,5,,0.00,2,Fog,276
1997-12-21,13,11,9,9,8,7,100,84,72,1020,1018,1016,5,3,1,13,3,,0.00,4,,229
1997-12-22,13,11,9,9,8,7,100,82,67,1021,1019,1017,3,3,2,14,10,,0.00,7,,145
1997-12-23,14,12,9,10,9,7,88,83,67,1022,1020,1018,4,3,2,14,5,,0.00,4,,268
1997-12-24,14,11,8,9,8,7,93,86,67,1020,1018,1016,3,1,0,10,3,,0.00,2,,270
1997-12-25,11,7,4,9,7,4,100,91,82,1021,1019,1017,3,2,1,8,0,,0.00,4,Fog,130
1997-12-26,10,9,8,8,6,4,93,82,71,1022,1020,1019,3,3,2,8,0,,0.00,6,,8
1997-12-27,10,9,8,6,4,4,81,72,66,1020,1019,1017,5,4,4,6,0,,0.00,6,,130
1997-12-28,11,8,6,10,6,4,94,88,81,1022,1020,1019,3,2,1,6,0,,0.00,4,Rain,180
1997-12-29,15,11,8,9,8,6,93,78,55,1021,1020,1019,7,5,2,8,3,,0.00,3,,328
1997-12-30,16,11,7,8,7,5,93,75,51,1024,1022,1020,10,5,1,14,6,,0.00,0,,321
1997-12-31,18,12,6,7,4,1,93,67,37,1023,1022,1020,8,5,3,19,8,,0.00,0,,301
<!-- 0.214:0 -->
