
PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,PrecipitationCm, CloudCover, Events,WindDirDegrees
2001-12-1,25,18,10,19,9,5,94,64,29,1017,1015,1014,7,5,3,21,5,,0.00,1,,270
2001-12-2,26,18,10,11,8,4,88,64,26,1016,1014,1013,7,5,3,10,2,,0.00,2,,274
2001-12-3,26,18,10,11,8,4,88,63,24,1015,1014,1013,5,4,2,6,0,,0.00,4,,325
2001-12-4,26,18,11,11,9,6,82,62,28,1016,1014,1012,5,4,1,6,0,,0.00,2,,335
2001-12-5,25,17,9,12,8,4,94,64,26,1015,1013,1012,8,4,1,16,3,,0.00,2,,294
2001-12-6,26,17,8,12,8,5,93,60,28,1016,1014,1013,6,5,1,16,2,,0.00,2,,255
2001-12-7,26,18,10,12,9,6,88,63,28,1015,1014,1012,7,5,1,13,2,,0.00,1,,254
2001-12-8,26,17,9,11,8,5,94,70,28,1016,1014,1013,7,4,1,8,2,,0.00,0,,292
2001-12-9,26,19,12,10,8,6,82,60,28,1015,1013,1012,7,5,5,13,5,,0.00,0,,255
2001-12-10,23,16,9,13,10,7,88,74,50,1017,1015,1014,5,3,1,13,3,,0.00,2,,47
2001-12-11,20,16,11,16,12,9,94,84,68,1017,1016,1014,3,2,1,16,3,,0.00,0,Fog,72
2001-12-12,22,16,9,14,12,9,100,83,53,1021,1019,1017,5,2,0,13,2,,0.00,0,Fog,300
2001-12-13,24,17,9,12,8,5,88,66,33,1020,1018,1016,7,5,2,10,5,,0.00,2,,260
2001-12-14,23,17,10,12,9,7,82,67,41,1020,1018,1017,6,4,1,11,2,,0.00,4,,167
2001-12-15,18,14,12,14,13,11,94,86,77,1021,1020,1019,6,3,0,13,6,,0.00,2,Rain,53
2001-12-16,21,14,9,11,9,8,94,84,53,1022,1020,1018,8,4,2,14,2,,0.00,1,Tornado,315
2001-12-17,17,16,13,14,12,11,88,84,72,1021,1020,1019,5,4,2,8,5,,0.00,3,,278
2001-12-18,24,17,9,13,10,7,93,74,44,1022,1020,1018,7,4,1,10,3,,0.00,3,,253
2001-12-19,20,15,10,11,10,8,88,74,52,1024,1022,1019,7,5,4,13,3,,0.00,0,,337
2001-12-20,22,16,9,10,8,6,93,69,41,1024,1021,1020,8,6,3,13,3,,0.00,1,,261
2001-12-21,27,16,6,9,7,4,93,63,32,1023,1021,1019,7,4,1,13,5,,0.00,0,,281
2001-12-22,22,13,5,10,7,4,93,66,33,1024,1022,1020,6,4,0,8,0,,0.00,0,,270
2001-12-23,22,13,6,9,7,5,93,72,35,1022,1020,1019,6,3,0,10,2,,0.00,0,Fog,266
2001-12-24,22,13,6,9,7,4,93,70,43,1028,1019,1017,6,3,1,6,0,,0.00,0,Fog,240
2001-12-25,22,13,5,12,8,5,100,72,43,1019,1017,1007,4,2,0,10,2,,0.00,2,Fog,135
2001-12-26,19,12,5,14,8,0,100,87,60,1021,1020,1018,1,1,0,6,2,,0.00,0,Fog,90
2001-12-27,17,10,4,14,9,4,100,93,5,1023,1021,1020,1,0,0,0,0,,0.00,0,Fog,-1
2001-12-28,17,12,7,14,10,6,100,88,4,1024,1022,1021,1,0,0,10,0,,0.00,0,Fog,138
2001-12-29,13,11,9,11,9,9,100,98,88,1024,1022,1019,1,0,0,0,0,,0.00,0,Fog,-1
2001-12-30,14,11,9,11,9,8,100,92,77,1023,1020,1018,1,1,0,6,0,,0.00,1,Fog,18
2001-12-31,16,12,8,10,9,8,100,84,63,1022,1020,1018,2,1,0,13,2,,0.00,1,Fog,298
<!-- 0.291:0 -->
