PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2006-1-1,1,,0,0,0,0,100,100,100,,,,0.1,0.1,0.1,13,13,,20.0,8,Snow,-1
2006-1-2,0,,0,-1,-1,-1,88,88,88,,,,0.1,0.1,0.1,6,6,,5.0,8,Snow,-1
2006-1-3,2,,2,0,0,0,87,87,87,,,,10.0,10.0,10.0,0,0,,0.0,8,,-1
2006-1-4,5,,4,2,2,2,81,81,81,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-5,4,,4,-1,-1,-1,62,62,62,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-6,,,,,,,,,,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2006-1-7,12,12,8,4,-2,-8,47,34,20,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-8,10,8,5,-6,-7,-9,33,24,14,,,,10.0,10.0,10.0,9,5,,0.0,8,,-1
2006-1-9,11,6,6,-5,-6,-7,26,26,25,,,,10.0,10.0,10.0,6,4,,0.0,,,-1
2006-1-10,13,,13,-7,-7,-7,14,14,14,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2006-1-11,12,,12,-3,-3,-3,22,22,22,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-12,7,,7,-4,-4,-4,31,31,31,,,,10.0,10.0,10.0,6,6,,0.0,8,,-1
2006-1-13,2,,2,2,2,2,98,98,98,,,,,,,13,13,,4.0,8,Snow,-1
2006-1-14,5,4,4,4,4,3,91,91,91,,,,4.0,4.0,4.0,17,17,,9.0,,,-1
2006-1-15,4,,4,4,4,4,100,100,100,,,,0.0,0.0,0.0,57,57,,0.0,,,-1
2006-1-16,6,6,2,1,-1,-3,64,60,57,,,,10.0,10.0,10.0,9,6,,0.0,,,-1
2006-1-17,7,6,5,-5,-6,-6,32,31,30,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-18,6,,6,-4,-4,-4,35,35,35,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2006-1-19,6,,6,-4,-4,-4,35,35,35,,,,10.0,10.0,10.0,6,6,,0.0,,,-1
2006-1-20,6,4,4,-4,-4,-5,46,42,39,,,,10.0,10.0,10.0,0,0,,0.0,8,,-1
2006-1-21,7,7,6,3,1,-1,65,57,49,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-22,9,,7,-4,-4,-4,31,31,31,,,,10.0,10.0,10.0,9,9,,0.0,,,-1
2006-1-23,11,9,8,-6,-8,-9,24,20,16,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-24,12,,7,-1,-1,-1,43,43,43,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-25,7,7,6,0,-0,-1,50,50,49,,,,10.0,10.0,10.0,9,6,,1.0,8,,-1
2006-1-26,10,,9,-3,-3,-3,31,31,31,,,,10.0,10.0,10.0,0,0,,0.0,8,,-1
2006-1-27,13,,12,-1,-1,-1,27,27,27,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-28,14,,9,-3,-3,-3,31,31,31,,,,10.0,10.0,10.0,0,0,,0.0,,,-1
2006-1-29,,,,,,,,,,,,,,,,,,,,,,
2006-1-30,,,,,,,,,,,,,,,,,,,,,,
2006-1-31,,,,,,,,,,,,,,,,,,,,,,
