PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2016-1-1,14,6,-1,-1,-7,-18,32,21,5,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2016-1-2,15,7,-1,-3,-7,-10,29,22,16,,,,10.0,7.0,4.0,7,7,,0.0,,,-1
2016-1-3,17,10,4,2,-3,-9,29,24,16,,,,10.0,7.4,4.0,11,5,,0.0,,,-1
2016-1-4,8,6,5,5,4,2,90,75,72,,,,10.0,7.4,4.0,11,8,,2.0,8,Rain,-1
2016-1-5,12,8,3,5,2,-1,81,61,50,,,,10.0,6.6,4.0,11,5,,0.0,,,-1
2016-1-6,9,6,3,3,0,-2,64,55,47,,,,10.0,7.0,4.0,7,3,,0.0,8,,-1
2016-1-7,11,6,2,1,-1,-3,61,49,38,,,,10.0,7.0,4.0,0,0,,3.0,,,-1
2016-1-8,7,4,2,2,-0,-2,81,67,61,,,,10.0,6.5,2.0,4,0,,3.0,8,Snow,-1
2016-1-9,13,6,0,0,-3,-7,96,43,21,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2016-1-10,16,8,1,4,-2,-8,52,38,23,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2016-1-11,14,8,2,4,-1,-6,75,44,23,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2016-1-12,6,4,1,1,-1,-6,92,64,33,,,,10.0,5.8,0.1,4,2,,0.0,8,,-1
2016-1-13,11,5,-1,3,-0,-4,66,56,39,,,,10.0,7.4,4.0,4,2,,0.0,,,-1
2016-1-14,8,4,-1,3,0,-4,72,58,46,,,,10.0,7.4,4.0,7,3,,0.0,8,,-1
2016-1-15,11,5,-1,1,-2,-6,75,43,25,,,,10.0,5.9,1.0,13,5,,0.0,,,-1
2016-1-16,10,4,-1,4,-1,-6,100,44,18,,,,10.0,6.6,4.0,17,7,,0.0,,,-1
2016-1-17,11,5,-1,2,-3,-6,52,39,23,,,,10.0,7.4,4.0,7,4,,0.0,,,-1
2016-1-18,10,4,-1,0,-3,-6,53,44,31,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2016-1-19,11,6,2,-2,-6,-13,52,31,13,,,,10.0,6.6,4.0,11,3,,0.0,,,-1
2016-1-20,13,8,2,2,-12,-18,40,15,7,,,,10.0,7.0,4.0,11,6,,0.0,,,-1
2016-1-21,14,8,3,2,-6,-13,44,25,13,,,,10.0,7.4,4.0,7,4,,0.0,,,-1
2016-1-22,14,9,4,0,-8,-25,47,24,4,,,,10.0,7.0,4.0,11,3,,0.0,,,-1
2016-1-23,13,8,3,0,-6,-13,43,25,13,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2016-1-24,14,9,4,0,-8,-17,32,19,7,,,,10.0,8.8,4.0,7,4,,0.0,,,-1
2016-1-25,12,8,3,1,-6,-13,51,28,13,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2016-1-26,4,4,2,0,-3,-9,71,51,22,,,,10.0,6.3,4.0,7,1,,1.0,8,Snow,-1
2016-1-27,9,5,1,2,-0,-2,76,64,50,,,,10.0,7.0,4.0,0,0,,1.0,,,-1
2016-1-28,11,6,1,-1,-1,-2,66,53,33,,,,10.0,6.7,2.0,11,2,,0.0,8,,-1
2016-1-29,3,2,0,2,-0,-3,92,82,66,,,,10.0,2.3,0.1,11,8,,27.0,8,Rain-Snow,-1
2016-1-30,6,2,-2,2,-0,-3,92,77,64,,,,10.0,5.4,0.1,7,2,,3.0,8,Snow,-1
2016-1-31,6,2,-1,1,-2,-5,90,65,44,,,,10.0,6.6,4.0,7,5,,3.0,,,-1
