PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2015-1-1,13,6,-1,-1,-7,-11,44,27,12,,,,10.0,7.0,4.0,7,1,,0.0,,,-1
2015-1-2,14,7,0,-3,-5,-7,44,30,14,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2015-1-3,10,6,1,2,-2,-5,72,51,38,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2015-1-4,9,4,0,2,-1,-5,66,53,34,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2015-1-5,12,6,1,-1,-5,-7,34,31,16,,,,10.0,7.0,4.0,11,9,,0.0,8,,-1
2015-1-6,13,7,1,-1,-5,-8,35,28,16,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2015-1-7,13,8,2,-5,-10,-16,30,16,6,,,,10.0,6.6,4.0,15,7,,0.0,,,-1
2015-1-8,17,10,3,-3,-10,-18,18,13,5,,,,10.0,7.0,4.0,11,5,,0.0,,,-1
2015-1-9,16,9,2,1,-8,-15,39,18,8,,,,10.0,7.4,4.0,4,2,,0.0,,,-1
2015-1-10,18,10,3,-3,-10,-14,18,12,7,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2015-1-11,19,11,3,-3,-10,-14,21,12,7,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2015-1-12,16,9,2,-1,-5,-9,26,20,14,,,,10.0,7.4,4.0,7,4,,0.0,,,-1
2015-1-13,6,4,-1,-0,-3,-7,89,57,21,,,,10.0,7.0,4.0,13,7,,5.0,8,Rain-Snow,-1
2015-1-14,5,1,-3,2,-0,-4,92,88,81,,,,10.0,3.5,0.1,13,5,,8.0,8,Snow,-1
2015-1-15,9,4,-1,3,1,-2,87,70,57,,,,10.0,6.5,0.1,7,3,,0.0,8,,-1
2015-1-16,12,7,2,1,-3,-7,81,45,14,,,,10.0,6.6,4.0,7,1,,0.0,,,-1
2015-1-17,12,6,-1,0,-3,-7,63,45,16,,,,10.0,6.6,4.0,7,1,,0.0,,,-1
2015-1-18,13,6,0,-1,-5,-8,46,30,13,,,,10.0,7.0,4.0,7,1,,0.0,,,-1
2015-1-19,15,8,0,0,-6,-10,30,22,14,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2015-1-20,12,6,1,1,-7,-13,48,23,11,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2015-1-21,5,2,0,0,-4,-8,100,55,23,,,,10.0,3.5,0.1,30,10,,14.0,8,Snow,-1
2015-1-22,3,1,-1,0,0,-1,100,90,81,,,,10.0,4.8,0.1,15,8,,3.0,8,Snow,-1
2015-1-23,4,2,0,1,-0,-2,87,82,66,,,,10.0,3.2,0.1,7,2,,1.0,8,,-1
2015-1-24,6,2,-1,0,-1,-2,88,62,45,,,,10.0,8.0,4.0,7,4,,0.0,,,-1
2015-1-25,8,4,-1,-0,-2,-4,76,58,44,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2015-1-26,5,2,-2,0,-2,-4,81,73,55,,,,10.0,5.0,0.1,7,2,,3.0,8,Snow,-1
2015-1-27,3,0,-4,-2,-5,-9,89,68,44,,,,10.0,6.6,4.0,7,3,,4.0,8,,-1
2015-1-28,7,1,-5,-2,-4,-9,85,62,40,,,,10.0,7.0,4.0,11,6,,0.0,,,-1
2015-1-29,5,1,-3,-3,-4,-7,88,62,31,,,,10.0,7.0,4.0,7,4,,0.0,,,-1
2015-1-30,8,2,-3,-3,-5,-8,78,48,20,,,,10.0,7.0,4.0,13,4,,0.0,,,-1
2015-1-31,9,4,-1,-3,-6,-9,40,32,18,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
