PKT,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity, Mean Humidity, Min Humidity, Max Sea Level PressurehPa, Mean Sea Level PressurehPa, Min Sea Level PressurehPa, Max VisibilityKm, Mean VisibilityKm, Min VisibilitykM, Max Wind SpeedKm/h, Mean Wind SpeedKm/h, Max Gust SpeedKm/h,Precipitationmm, CloudCover, Events,WindDirDegrees
2013-1-1,9,6,3,0,-3,-7,62,49,31,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2013-1-2,10,6,3,-3,-3,-3,53,44,31,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2013-1-3,9,6,2,-1,-2,-3,76,56,31,,,,10.0,7.0,4.0,4,2,,0.0,,,-1
2013-1-4,7,4,1,-2,-3,-5,76,55,35,,,,10.0,7.0,4.0,4,3,,0.0,,,-1
2013-1-5,8,4,0,-1,-2,-5,62,54,43,,,,10.0,7.0,4.0,0,0,,0.0,,,-1
2013-1-6,6,3,0,-2,-3,-4,65,54,42,,,,10.0,6.0,4.0,0,0,,0.0,,,-1
2013-1-7,70,35,0,-4,-5,-6,56,46,29,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2013-1-8,8,4,0,-2,-4,-6,65,46,23,,,,10.0,7.0,4.0,4,1,,0.0,8,,-1
2013-1-9,8,5,2,1,-1,-2,72,59,43,,,,10.0,7.0,4.0,9,3,,0.4,8,,-1
2013-1-10,11,8,4,-2,-4,-5,43,36,27,,,,10.0,7.0,4.0,9,5,,0.0,,,-1
2013-1-11,14,10,6,0,-3,-7,38,28,22,,,,10.0,8.0,4.0,17,10,,0.0,,,-1
2013-1-12,6,4,4,4,3,2,91,88,81,,,,4.0,2.7,0.1,24,16,,7.0,8,Rain,-1
2013-1-13,8,4,3,4,2,-1,90,78,71,,,,10.0,4.8,0.5,7,5,,0.0,,,-1
2013-1-14,9,7,3,4,2,-1,91,72,55,,,,10.0,8.0,4.0,7,7,,0.0,,,-1
2013-1-15,9,6,2,2,0,-2,81,64,54,,,,10.0,7.0,4.0,15,7,,0.0,,,-1
2013-1-16,7,4,2,0,-2,-4,66,59,52,,,,10.0,7.0,4.0,7,6,,0.0,,,-1
2013-1-17,4,2,1,2,0,-1,92,83,70,,,,10.0,8.0,4.0,7,3,,18.0,8,,-1
2013-1-18,3,2,0,0,-1,-2,90,85,76,,,,10.0,4.5,0.1,0,0,,0.0,8,,-1
2013-1-19,5,2,-2,0,-2,-5,94,78,62,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2013-1-20,7,3,-1,-0,-3,-5,64,56,46,,,,10.0,7.0,4.0,56,14,,0.0,,,-1
2013-1-21,9,4,0,-1,-2,-4,76,56,29,,,,10.0,7.0,4.0,7,2,,0.0,,,-1
2013-1-22,10,5,0,-1,-3,-8,88,53,17,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2013-1-23,6,4,1,-3,-4,-4,66,52,40,,,,10.0,7.0,4.0,7,2,,0.0,8,,-1
2013-1-24,11,6,1,-1,-3,-4,56,42,25,,,,10.0,7.0,4.0,15,10,,0.0,,,-1
2013-1-25,11,8,4,-3,-5,-6,36,29,20,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2013-1-26,13,9,5,-8,-17,-25,18,10,4,,,,10.0,7.0,4.0,26,19,,0.0,,,-1
2013-1-27,12,10,7,-3,-9,-16,31,17,7,,,,10.0,7.0,4.0,7,3,,0.0,,,-1
2013-1-28,13,10,6,-3,-5,-8,31,25,17,,,,10.0,7.0,4.0,7,5,,0.0,,,-1
2013-1-29,14,12,7,0,-3,-7,38,30,14,,,,10.0,7.0,4.0,4,1,,0.0,,,-1
2013-1-30,11,9,7,-3,-4,-6,32,28,19,,,,10.0,7.0,4.0,4,1,,0.0,8,,-1
2013-1-31,9,8,6,1,-1,-3,56,44,36,,,,10.0,7.0,4.0,4,3,,0.0,8,,-1
